site,flow,lag_to_lfalls,loss_to_lfalls,pct_of_stream_length,lag,loss,lag_quant,lag_min,lag_max,loss_min,loss_max,best_lag,best_loss,ga_rmse,org_rmse
goose,0,24,0,1,24,0,2.4,21.6,26.4,-0.5,0.5,22.6582190470812,0.0541953289443113,-769.048743324963,-1047.3580145582
goose,500,18,0,1,18,0,1.8,16.2,19.8,-0.5,0.5,17.8929498334488,0.0386652265800732,-769.048743324963,-1047.3580145582
goose,2000,12,0,1,12,0,1.2,10.8,13.2,-0.5,0.5,12.4702984160623,-0.116725750920091,-769.048743324963,-1047.3580145582
goose,100000,6,0,1,6,0,0.6,5.4,6.6,-0.5,0.5,6.43211365291572,-0.0836857477430076,-769.048743324963,-1047.3580145582
goose,2000000,3,0,1,3,0,0.3,2.7,3.3,-0.5,0.5,2.77701513909406,0.0710981206478251,-769.048743324963,-1047.3580145582
mon_jug,0,36,0,1,36,0,3.6,32.4,39.6,-0.5,0.5,33.9765647179835,-0.0407033113799607,-769.048743324963,-1047.3580145582
mon_jug,100,30,0,1,30,0,3,27,33,-0.5,0.5,30.5493032889349,-0.151203037904597,-769.048743324963,-1047.3580145582
mon_jug,1000,24,0,1,24,0,2.4,21.6,26.4,-0.5,0.5,22.438841140508,-0.141429869040553,-769.048743324963,-1047.3580145582
mon_jug,2500,18,0,1,18,0,1.8,16.2,19.8,-0.5,0.5,18.8217744436357,0.37013720118794,-769.048743324963,-1047.3580145582
mon_jug,100000,9,0,1,9,0,0.9,8.1,9.9,-0.5,0.5,8.62604390598644,-0.117444219260231,-769.048743324963,-1047.3580145582
mon_jug,2000000,5,0,1,5,0,0.5,4.5,5.5,-0.5,0.5,4.70053529581691,0.372597526524988,-769.048743324963,-1047.3580145582
por_1,0,48,0.1,0.15,7.2,0.015,0.72,6.48,7.92,-0.5,0.5,7.58573157576923,-0.169077665051311,-769.048743324963,-1047.3580145582
por_1,500,30,0.1,0.15,4.5,0.015,0.45,4.05,4.95,-0.5,0.5,4.91133901204859,-0.261883310837796,-769.048743324963,-1047.3580145582
por_1,2500,24,0.1,0.15,3.6,0.015,0.36,3.24,3.96,-0.5,0.5,3.80294862635836,-0.0491197996138531,-769.048743324963,-1047.3580145582
por_1,5000,18,0.05,0.15,2.7,0.0075,0.27,2.43,2.97,-0.5,0.5,2.53948004981658,-0.258501726155483,-769.048743324963,-1047.3580145582
por_1,12500,12,0,0.15,1.8,0,0.18,1.62,1.98,-0.5,0.5,1.90692748860883,-0.121281744722823,-769.048743324963,-1047.3580145582
por_1,100000,9,0,0.15,1.35,0,0.135,1.215,1.485,-0.5,0.5,1.24345944369195,-0.23154629206621,-769.048743324963,-1047.3580145582
por_1,2000000,7,0,0.15,1.05,0,0.105,0.945,1.155,-0.5,0.5,1.06049399435309,0.333141504475978,-769.048743324963,-1047.3580145582
por_2,0,48,0,0.26,12.48,0,1.248,11.232,13.728,-0.5,0.5,13.2061330879477,0.277316458656656,-769.048743324963,-1047.3580145582
por_2,500,30,0,0.26,7.8,0,0.78,7.02,8.58,-0.5,0.5,7.15902127119778,-0.0617454370680947,-769.048743324963,-1047.3580145582
por_2,2500,24,0,0.26,6.24,0,0.624,5.616,6.864,-0.5,0.5,6.06212319888938,0.398043076138022,-769.048743324963,-1047.3580145582
por_2,5000,18,0,0.26,4.68,0,0.468,4.212,5.148,-0.5,0.5,4.47630394422871,0.320929557134584,-769.048743324963,-1047.3580145582
por_2,12500,12,0,0.26,3.12,0,0.312,2.808,3.432,-0.5,0.5,3.17954019153738,0.225052548512859,-769.048743324963,-1047.3580145582
por_2,100000,9,0,0.26,2.34,0,0.234,2.106,2.574,-0.5,0.5,2.49800375230796,-0.0581176033130854,-769.048743324963,-1047.3580145582
por_2,2000000,7,0,0.26,1.82,0,0.182,1.638,2.002,-0.5,0.5,1.91752606527353,0.163603724702152,-769.048743324963,-1047.3580145582
