site,flow,lag_to_lfalls,loss_to_lfalls,pct_of_stream_length,lag,loss
GOOSE,0,24,0,1,24,0
GOOSE,500,18,0,1,18,0
GOOSE,2000,12,0,1,12,0
GOOSE,100000,6,0,1,6,0
GOOSE,2000000,3,0,1,3,0
MON_JUG,0,36,0,1,36,0
MON_JUG,100,30,0,1,30,0
MON_JUG,1000,24,0,1,24,0
MON_JUG,2500,18,0,1,18,0
MON_JUG,100000,9,0,1,9,0
MON_JUG,2000000,5,0,1,5,0
POR_1,0,48,0.1,0.15,7.2,0.015
POR_1,500,30,0.1,0.15,4.5,0.015
POR_1,2500,24,0.1,0.15,3.6,0.015
POR_1,5000,18,0.05,0.15,2.7,0.0075
POR_1,12500,12,0,0.15,1.8,0
POR_1,100000,9,0,0.15,1.35,0
POR_1,2000000,7,0,0.15,1.05,0
POR_2,0,48,0,0.26,12.48,0
POR_2,500,30,0,0.26,7.8,0
POR_2,2500,24,0,0.26,6.24,0
POR_2,5000,18,0,0.26,4.68,0
POR_2,12500,12,0,0.26,3.12,0
POR_2,100000,9,0,0.26,2.34,0
POR_2,2000000,7,0,0.26,1.82,0
POR_3,0,48,0,0.19,9.12,0
POR_3,500,30,0,0.19,5.7,0
POR_3,2500,24,0,0.19,4.56,0
POR_3,5000,18,0,0.19,3.42,0
POR_3,12500,12,0,0.19,2.28,0
POR_3,100000,9,0,0.19,1.71,0
POR_3,2000000,7,0,0.19,1.33,0
POR_4,0,48,0,0.41,19.68,0
POR_4,500,30,0,0.41,12.3,0
POR_4,2500,24,0,0.41,9.84,0
POR_4,5000,18,0,0.41,7.38,0
POR_4,12500,12,0,0.41,4.92,0
POR_4,100000,9,0,0.41,3.69,0
POR_4,2000000,7,0,0.41,2.87,0
SENECA,0,18,0,1,18,0
SENECA,50,12,0,1,12,0
SENECA,500,6,0,1,6,0
SENECA,100000,3,0,1,3,0
SENECA,2000000,1,0,1,1,0
POR_ALL,50,48,0,1,48,0
POR_ALL,500,30,0,1,30,0
POR_ALL,2500,24,0,1,24,0
POR_ALL,5000,18,0,1,18,0
POR_ALL,12500,12,0,1,12,0
POR_ALL,100000,9,0,1,9,0
POR_ALL,2000000,7,0,1,7,0
