unique_id,supplier,location,date_time,day,time,measurement,today,value,units,comments
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-01T00:00:00Z,yesterday,,daily average withdrawals,1998-08-02,115.8,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-02T00:00:00Z,yesterday,,daily average withdrawals,1998-08-03,124.7,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-03T00:00:00Z,yesterday,,daily average withdrawals,1998-08-04,142.9,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-04T00:00:00Z,yesterday,,daily average withdrawals,1998-08-05,132.2,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-05T00:00:00Z,yesterday,,daily average withdrawals,1998-08-06,146.3,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-06T00:00:00Z,yesterday,,daily average withdrawals,1998-08-07,144,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-07T00:00:00Z,yesterday,,daily average withdrawals,1998-08-08,151.1,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-08T00:00:00Z,yesterday,,daily average withdrawals,1998-08-09,141.2,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-09T00:00:00Z,yesterday,,daily average withdrawals,1998-08-10,146.8,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-10T00:00:00Z,yesterday,,daily average withdrawals,1998-08-11,127.7,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-11T00:00:00Z,yesterday,,daily average withdrawals,1998-08-12,124.2,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-12T00:00:00Z,yesterday,,daily average withdrawals,1998-08-13,120.7,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-13T00:00:00Z,yesterday,,daily average withdrawals,1998-08-14,126.8,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-14T00:00:00Z,yesterday,,daily average withdrawals,1998-08-15,127.5,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-15T00:00:00Z,yesterday,,daily average withdrawals,1998-08-16,132.3,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-16T00:00:00Z,yesterday,,daily average withdrawals,1998-08-17,129.8,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-17T00:00:00Z,yesterday,,daily average withdrawals,1998-08-18,117.7,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-18T00:00:00Z,yesterday,,daily average withdrawals,1998-08-19,115.9,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1998-08-19T00:00:00Z,yesterday,,daily average withdrawals,1998-08-20,116.4,MGD,
