unique_id,supplier,location,date_time,day,time,measurement,today,value,units,comments
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-01T00:00:00Z,yesterday,,daily average withdrawals,1999-06-02,193,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-02T00:00:00Z,yesterday,,daily average withdrawals,1999-06-03,195.5,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-03T00:00:00Z,yesterday,,daily average withdrawals,1999-06-04,192.6,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-04T00:00:00Z,yesterday,,daily average withdrawals,1999-06-05,194.8,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-05T00:00:00Z,yesterday,,daily average withdrawals,1999-06-06,207.6,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-06T00:00:00Z,yesterday,,daily average withdrawals,1999-06-07,220.1,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-07T00:00:00Z,yesterday,,daily average withdrawals,1999-06-08,199.2,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-08T00:00:00Z,yesterday,,daily average withdrawals,1999-06-09,222,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-09T00:00:00Z,yesterday,,daily average withdrawals,1999-06-10,211.6,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-10T00:00:00Z,yesterday,,daily average withdrawals,1999-06-11,199.1,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-11T00:00:00Z,yesterday,,daily average withdrawals,1999-06-12,187.3,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-12T00:00:00Z,yesterday,,daily average withdrawals,1999-06-13,208.8,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-13T00:00:00Z,yesterday,,daily average withdrawals,1999-06-14,189.4,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-14T00:00:00Z,yesterday,,daily average withdrawals,1999-06-15,178.9,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-15T00:00:00Z,yesterday,,daily average withdrawals,1999-06-16,156.7,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-16T00:00:00Z,yesterday,,daily average withdrawals,1999-06-17,173.6,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-17T00:00:00Z,yesterday,,daily average withdrawals,1999-06-18,148.7,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-18T00:00:00Z,yesterday,,daily average withdrawals,1999-06-19,148.6,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-19T00:00:00Z,yesterday,,daily average withdrawals,1999-06-20,157.5,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-20T00:00:00Z,yesterday,,daily average withdrawals,1999-06-21,167.8,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-21T00:00:00Z,yesterday,,daily average withdrawals,1999-06-22,144.9,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-22T00:00:00Z,yesterday,,daily average withdrawals,1999-06-23,146.9,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-23T00:00:00Z,yesterday,,daily average withdrawals,1999-06-24,156.2,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-24T00:00:00Z,yesterday,,daily average withdrawals,1999-06-25,163.8,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-25T00:00:00Z,yesterday,,daily average withdrawals,1999-06-26,178.6,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-26T00:00:00Z,yesterday,,daily average withdrawals,1999-06-27,188.7,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-27T00:00:00Z,yesterday,,daily average withdrawals,1999-06-28,188.6,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-28T00:00:00Z,yesterday,,daily average withdrawals,1999-06-29,168.5,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-29T00:00:00Z,yesterday,,daily average withdrawals,1999-06-30,158.6,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-06-30T00:00:00Z,yesterday,,daily average withdrawals,1999-07-01,161.3,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-01T00:00:00Z,yesterday,,daily average withdrawals,1999-07-02,152.2,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-02T00:00:00Z,yesterday,,daily average withdrawals,1999-07-03,137.1,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-03T00:00:00Z,yesterday,,daily average withdrawals,1999-07-04,143.4,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-04T00:00:00Z,yesterday,,daily average withdrawals,1999-07-05,150.4,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-05T00:00:00Z,yesterday,,daily average withdrawals,1999-07-06,176.1,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-06T00:00:00Z,yesterday,,daily average withdrawals,1999-07-07,162.9,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-07T00:00:00Z,yesterday,,daily average withdrawals,1999-07-08,176,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-08T00:00:00Z,yesterday,,daily average withdrawals,1999-07-09,154.1,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-09T00:00:00Z,yesterday,,daily average withdrawals,1999-07-10,146.2,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-10T00:00:00Z,yesterday,,daily average withdrawals,1999-07-11,157,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-11T00:00:00Z,yesterday,,daily average withdrawals,1999-07-12,161.7,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-12T00:00:00Z,yesterday,,daily average withdrawals,1999-07-13,162.4,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-13T00:00:00Z,yesterday,,daily average withdrawals,1999-07-14,139.5,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-14T00:00:00Z,yesterday,,daily average withdrawals,1999-07-15,155.9,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-15T00:00:00Z,yesterday,,daily average withdrawals,1999-07-16,168.6,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-16T00:00:00Z,yesterday,,daily average withdrawals,1999-07-17,145.7,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-17T00:00:00Z,yesterday,,daily average withdrawals,1999-07-18,204.4,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-18T00:00:00Z,yesterday,,daily average withdrawals,1999-07-19,206.5,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-19T00:00:00Z,yesterday,,daily average withdrawals,1999-07-20,184.8,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-20T00:00:00Z,yesterday,,daily average withdrawals,1999-07-21,199.8,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-21T00:00:00Z,yesterday,,daily average withdrawals,1999-07-22,182.3,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-22T00:00:00Z,yesterday,,daily average withdrawals,1999-07-23,171.1,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-23T00:00:00Z,yesterday,,daily average withdrawals,1999-07-24,174.8,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-24T00:00:00Z,yesterday,,daily average withdrawals,1999-07-25,195.3,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-25T00:00:00Z,yesterday,,daily average withdrawals,1999-07-26,187.8,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-26T00:00:00Z,yesterday,,daily average withdrawals,1999-07-27,174.4,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-27T00:00:00Z,yesterday,,daily average withdrawals,1999-07-28,182.4,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-28T00:00:00Z,yesterday,,daily average withdrawals,1999-07-29,171.3,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-29T00:00:00Z,yesterday,,daily average withdrawals,1999-07-30,169.6,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-30T00:00:00Z,yesterday,,daily average withdrawals,1999-07-31,175.7,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-07-31T00:00:00Z,yesterday,,daily average withdrawals,1999-08-01,189.7,MGD,
