unique_id,supplier,location,date_time,day,time,measurement,today,value,units,comments
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-01T00:00:00Z,yesterday,,daily average withdrawals,2010-07-02,138.343,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-02T00:00:00Z,yesterday,,daily average withdrawals,2010-07-03,119.062,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-03T00:00:00Z,yesterday,,daily average withdrawals,2010-07-04,111.481,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-04T00:00:00Z,yesterday,,daily average withdrawals,2010-07-05,104.605,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-05T00:00:00Z,yesterday,,daily average withdrawals,2010-07-06,113.774,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-06T00:00:00Z,yesterday,,daily average withdrawals,2010-07-07,153.801,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-07T00:00:00Z,yesterday,,daily average withdrawals,2010-07-08,162.992,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-08T00:00:00Z,yesterday,,daily average withdrawals,2010-07-09,165.308,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-09T00:00:00Z,yesterday,,daily average withdrawals,2010-07-10,169.079,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-10T00:00:00Z,yesterday,,daily average withdrawals,2010-07-11,126.744,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-11T00:00:00Z,yesterday,,daily average withdrawals,2010-07-12,123.287,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-12T00:00:00Z,yesterday,,daily average withdrawals,2010-07-13,137.671,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-13T00:00:00Z,yesterday,,daily average withdrawals,2010-07-14,123.553,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-14T00:00:00Z,yesterday,,daily average withdrawals,2010-07-15,121.949,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-15T00:00:00Z,yesterday,,daily average withdrawals,2010-07-16,127.592,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-16T00:00:00Z,yesterday,,daily average withdrawals,2010-07-17,150.735,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-17T00:00:00Z,yesterday,,daily average withdrawals,2010-07-18,142.635,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-18T00:00:00Z,yesterday,,daily average withdrawals,2010-07-19,139.533,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-19T00:00:00Z,yesterday,,daily average withdrawals,2010-07-20,140.634,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-20T00:00:00Z,yesterday,,daily average withdrawals,2010-07-21,130.359,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-21T00:00:00Z,yesterday,,daily average withdrawals,2010-07-22,147.362,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-22T00:00:00Z,yesterday,,daily average withdrawals,2010-07-23,148.736,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-23T00:00:00Z,yesterday,,daily average withdrawals,2010-07-24,159.016,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-24T00:00:00Z,yesterday,,daily average withdrawals,2010-07-25,170.548,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-25T00:00:00Z,yesterday,,daily average withdrawals,2010-07-26,96.084,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-26T00:00:00Z,yesterday,,daily average withdrawals,2010-07-27,143.816,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-27T00:00:00Z,yesterday,,daily average withdrawals,2010-07-28,138.131,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-28T00:00:00Z,yesterday,,daily average withdrawals,2010-07-29,147.222,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-29T00:00:00Z,yesterday,,daily average withdrawals,2010-07-30,142.194,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-30T00:00:00Z,yesterday,,daily average withdrawals,2010-07-31,123.209,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-07-31T00:00:00Z,yesterday,,daily average withdrawals,2010-08-01,139.531,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-08-01T00:00:00Z,yesterday,,daily average withdrawals,2010-08-02,130.381,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-08-02T00:00:00Z,yesterday,,daily average withdrawals,2010-08-03,128.994,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-08-03T00:00:00Z,yesterday,,daily average withdrawals,2010-08-04,150.4,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-08-04T00:00:00Z,yesterday,,daily average withdrawals,2010-08-05,153.761,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-08-05T00:00:00Z,yesterday,,daily average withdrawals,2010-08-06,164.874,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-08-06T00:00:00Z,yesterday,,daily average withdrawals,2010-08-07,132.921,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,2010-08-07T00:00:00Z,yesterday,,daily average withdrawals,2010-08-08,165.468,MGD,
